date,stat
2024-01-01,35036.54224
2024-01-02,55313.21068
2024-01-03,59184.45373
2024-01-04,54378.55308
2024-01-05,51548.42479
2024-01-06,43255.09722
2024-01-07,48475.41891
2024-01-08,51422.72804
2024-01-09,48802.82565
2024-01-10,108874.02239
2024-01-11,70757.41183
2024-01-12,65033.02279
2024-01-13,57750.81597
2024-01-14,67048.07844
2024-01-15,61153.12001
2024-01-16,57796.3829
2024-01-17,67633.39522
2024-01-18,52332.67416
2024-01-19,49221.9809
2024-01-20,49027.73957
2024-01-21,62881.87373
2024-01-22,54865.89246
2024-01-23,50297.27702
2024-01-24,60188.94686
2024-01-25,47486.31442
2024-01-26,46340.04337
2024-01-27,44687.46561
2024-01-28,61775.38712
2024-01-29,58187.02814
2024-01-30,55194.88468
2024-01-31,71516.89026
2024-02-01,69203.47084
2024-02-02,54222.69139
2024-02-03,53535.40828
2024-02-04,71974.54247
2024-02-05,69075.64792
2024-02-06,77317.86499
2024-02-07,56818.95844
2024-02-08,47584.04607
2024-02-09,45008.83667
2024-02-10,43681.33333
2024-02-11,48318.85326
2024-02-12,50491.65909
2024-02-13,46246.11356
2024-02-14,44508.90318
2024-02-15,36491.19676
2024-02-16,37774.61488
2024-02-17,33904.02918
2024-02-18,42035.97545
2024-02-19,41272.48578
2024-02-20,42099.02832
2024-02-21,47517.27304
2024-02-22,46539.9476
2024-02-23,36412.16916
2024-02-24,34399.72104
2024-02-25,46409.15579
2024-02-26,44117.66627
2024-02-27,44746.81971
2024-02-28,51494.76717
2024-02-29,45917.89424
2024-03-01,43949.79945
2024-03-02,38153.55425
2024-03-03,48699.58273
2024-03-04,44891.07518
2024-03-05,48268.30826
2024-03-06,48554.19658
2024-03-07,43303.19133
2024-03-08,52996.68266
2024-03-09,46842.20353
2024-03-10,58047.578
2024-03-11,51326.66051
2024-03-12,44327.52457
2024-03-13,44217.8286
2024-03-14,37852.15893
2024-03-15,38333.41588
2024-03-16,33354.88235
2024-03-17,38816.48243
2024-03-18,45114.91899
